269,GreedyPlayer,260567881,1,260567881,16,game00269.log,
270,260567881,GreedyPlayer,0,260567881,12,game00270.log,
271,260567881,mcmcmcmcm,1,mcmcmcmcm,21,game00271.log,
272,Human,GreedyPlayer,GAMEOVER DRAW         Player-0 score: 36  Player-1 score: 36,NOBODY,20,game00272.log,
273,260567881,mcmcmcmcm,1,mcmcmcmcm,24,game00273.log,
274,GreedyPlayer,mcmcmcmcm,0,GreedyPlayer,13,game00274.log,
275,GreedyPlayer,mcmcmcmcm,1,mcmcmcmcm,15,game00275.log,
276,mcmcmcmcm,GreedyPlayer,1,GreedyPlayer,19,game00276.log,ILLEGAL MOVE: Player 0 ends turn.
277,mcmcmcmcm,GreedyPlayer,0,mcmcmcmcm,17,game00277.log,
278,GreedyPlayer,mcmcmcmcm,1,mcmcmcmcm,15,game00278.log,
279,mcmcmcmcm,GreedyPlayer,0,mcmcmcmcm,18,game00279.log,
280,260567881,GreedyPlayer,0,260567881,15,game00280.log,
281,260567881,GreedyPlayer,0,260567881,16,game00281.log,
282,GreedyPlayer,260567881,GAMEOVER DRAW         Player-0 score: 36  Player-1 score: 36,NOBODY,16,game00282.log,
283,GreedyPlayer,260567881,1,260567881,18,game00283.log,
284,260567881,GreedyPlayer,GAMEOVER DRAW         Player-0 score: 36  Player-1 score: 36,NOBODY,17,game00284.log,
285,260567881,GreedyPlayer,0,260567881,17,game00285.log,
286,260567881,GreedyPlayer,0,260567881,16,game00286.log,
287,GreedyPlayer,260567881,GAMEOVER USER CANCEL UNDECIDED,NOBODY,18,game00287.log,USER CANCEL
288,GreedyPlayer,260567881,1,260567881,16,game00288.log,
289,260567881,GreedyPlayer,0,260567881,13,game00289.log,
290,GreedyPlayer,260567881,1,260567881,15,game00290.log,
291,GreedyPlayer,260567881,1,260567881,15,game00291.log,
292,260567881,GreedyPlayer,GAMEOVER DRAW         Player-0 score: 36  Player-1 score: 36,NOBODY,16,game00292.log,
293,260567881,mcmcmcmcm,1,mcmcmcmcm,24,game00293.log,
294,260567881,mcmcmcmcm,0,260567881,13,game00294.log,
295,260567881,mcmcmcmcm,1,mcmcmcmcm,16,game00295.log,
296,260567881,mcmcmcmcm,1,mcmcmcmcm,30,game00296.log,
297,260567881,mcmcmcmcm,1,mcmcmcmcm,13,game00297.log,
298,260567881,mcmcmcmcm,1,mcmcmcmcm,16,game00298.log,
299,260567881,mcmcmcmcm,1,mcmcmcmcm,15,game00299.log,
300,260567881,mcmcmcmcm,1,mcmcmcmcm,23,game00300.log,
301,260567881,mcmcmcmcm,1,mcmcmcmcm,18,game00301.log,
302,260567881,GreedyPlayer,1,GreedyPlayer,17,game00302.log,
303,260567881,GreedyPlayer,0,260567881,18,game00303.log,
304,GreedyPlayer,260567881,1,260567881,15,game00304.log,
305,260567881,mcmcmcmcm,1,mcmcmcmcm,25,game00305.log,
306,260567881,mcmcmcmcm,0,260567881,13,game00306.log,
307,260567881,mcmcmcmcm,0,260567881,15,game00307.log,
308,mcmcmcmcm,260567881,0,mcmcmcmcm,14,game00308.log,
309,260567881,mcmcmcmcm,1,mcmcmcmcm,18,game00309.log,
310,260567881,mcmcmcmcm,0,260567881,19,game00310.log,
311,260567881,mcmcmcmcm,1,mcmcmcmcm,19,game00311.log,
312,260567881,mcmcmcmcm,0,260567881,22,game00312.log,
313,mcmcmcmcm,260567881,0,mcmcmcmcm,14,game00313.log,
314,mcmcmcmcm,260567881,0,mcmcmcmcm,17,game00314.log,
315,mcmcmcmcm,260567881,0,mcmcmcmcm,18,game00315.log,
316,260567881,mcmcmcmcm,1,mcmcmcmcm,18,game00316.log,
317,260567881,mcmcmcmcm,1,mcmcmcmcm,22,game00317.log,
318,mcmcmcmcm,260567881,1,260567881,12,game00318.log,
319,260567881,mcmcmcmcm,1,mcmcmcmcm,29,game00319.log,
320,mcmcmcmcm,260567881,0,mcmcmcmcm,17,game00320.log,
321,260567881,mcmcmcmcm,1,mcmcmcmcm,17,game00321.log,
322,260567881,mcmcmcmcm,1,mcmcmcmcm,20,game00322.log,
323,260567881,mcmcmcmcm,1,mcmcmcmcm,23,game00323.log,
324,260567881,mcmcmcmcm,1,mcmcmcmcm,17,game00324.log,
325,260567881,mcmcmcmcm,0,260567881,23,game00325.log,
326,260567881,mcmcmcmcm,0,260567881,18,game00326.log,
327,260567881,mcmcmcmcm,1,mcmcmcmcm,20,game00327.log,
328,260567881,mcmcmcmcm,0,260567881,25,game00328.log,
329,260567881,mcmcmcmcm,0,260567881,16,game00329.log,
330,260567881,mcmcmcmcm,1,mcmcmcmcm,19,game00330.log,
331,260567881,mcmcmcmcm,0,260567881,19,game00331.log,
332,260567881,mcmcmcmcm,0,260567881,17,game00332.log,
